year,Deep_water,Sub_canopy_brown_and_Caulerpa_Biotope,Ecklonia_Phyllospora_Communities,Sublittoral_Seagrass_Beds,Sublittoral_SeaweedCommunities_onSediment,RockyReef,Sediment,Shoreline_veg,Bare_rocks
"2,016","96,607.873","3,584.286",449.487,"7,643.143","8,070.118","6,347.112","70,133.701",531.48,264.799
"2,017","98,271.503","3,302.804",671.859,"7,585.137","9,485.441","7,932.546","65,850.909",468.057,63.742
"2,018","97,432.001","2,027.599","1,021.942","7,805.93","11,855.528","7,004.47","65,618.276",551.144,315.108
"2,019","97,664.814","3,307.922",766.486,"7,702.722","10,847.161","5,617.717","66,970.241",459.397,295.537
"2,020","95,337.31","1,607.647",892.512,"8,132.162","7,409.002","9,355.836","70,178.838",327.451,391.24
"2,021","91,334.071","1,511.854","2,639.13","7,593.696","7,777.897","9,428.255","72,669.333",577.68,100.083
"2,022","99,293.41","1,532.545","2,533.385","7,714.734","8,169.533","7,334.199","66,301.584",465.933,286.676
"2,023","95,114.012","1,776.987",883.349,"6,716.467","7,912.506","8,062.303","72,421.002",458.965,286.407
"2,024","95,599.27","4,392.821","1,336.367","7,380.469","7,549.183","7,433.524","69,205.569",445.957,288.838
"2,025","94,910.012","4,625.965",897.986,"8,306.625","10,898.812","7,870.572","65,422.036",410.965,289.024
