system:index,turbidity,year,.geo
0,0.5078049045570462,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5074726823871349,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.49058706512570255,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5181352141456307,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.501177131351688,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.5331805422046375,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.5109851486053198,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.541145346639096,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5036114621364804,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.49022186655937855,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
