system:index,area_ha,class,method,year,.geo
1_0,96447.26321283572,0,median,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,2912.916894148959,1,median,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,732.9443678295678,2,median,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,7344.254172399312,3,median,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,10241.914737184583,4,median,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,5552.931620544307,5,median,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,69629.37757827221,6,median,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,473.06968371018996,7,median,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,297.32588347513524,8,median,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,100859.24350772637,0,p25,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,331.13931147275446,1,p25,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,441.01796256967447,2,p25,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,8538.883803301154,3,p25,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,11184.234883923853,4,p25,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,2116.8355302367495,5,p25,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,69510.89418047448,6,p25,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7,406.5480159775704,7,p25,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8,243.20095480745206,8,p25,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
